호선,역명,요일,비율
4,미아,화,1.1204565871529386
4,미아사거리,금,1.1318678498619166
4,미아사거리,목,1.0955423791144285
4,미아사거리,수,1.1017095186176873
4,미아사거리,월,1.0588662570204757
4,미아사거리,일,0.6291581944340827
4,미아사거리,토,0.8895831901331351
4,미아사거리,화,1.0932726108182735
4,사당,금,1.1617412893448973
4,사당,목,1.0907435628675408
4,사당,수,1.0874403142381508
4,사당,월,1.022563702746668
4,사당,일,0.6306779306764463
4,사당,토,0.9333609621978826
4,사당,화,1.0734722379284136
4,삼각지,금,1.1817319248601708
4,삼각지,목,1.1274203579313142
4,삼각지,수,1.1127050671229606
4,삼각지,월,1.0216312635818692
4,삼각지,일,0.5793028748545594
4,삼각지,토,0.8850398777957185
4,삼각지,화,1.0921686338534073
4,상계,금,1.1304832464132033
4,상계,목,1.1197601217998343
4,상계,수,1.130735952055339
4,상계,월,1.0917218471467138
4,상계,일,0.5853171063181507
4,상계,토,0.8189428208452425
4,상계,화,1.1230389054215157
4,서울역,금,1.1937293174953225
4,서울역,목,1.1862838886110503
4,서울역,수,1.2013509804423943
4,서울역,월,1.1438067975911632
4,서울역,일,0.44787781457673287
4,서울역,토,0.650917435960858
4,서울역,화,1.176033765322479
4,성신여대입구,금,1.1398972306150807
4,성신여대입구,목,1.0910504328302637
4,성신여대입구,수,1.1088115875302602
4,성신여대입구,월,1.0451208253594915
4,성신여대입구,일,0.6428444740764183
4,성신여대입구,토,0.8870481108690638
4,성신여대입구,화,1.0852273387194216
4,수유,금,1.1377403981398626
4,수유,목,1.0991426210677382
4,수유,수,1.1030797795000002
4,수유,월,1.0656306796403179
4,수유,일,0.6333005354188944
4,수유,토,0.8663572582605624
4,수유,화,1.0947487279726247
4,숙대입구,금,1.1243735825269021
4,숙대입구,목,1.1317923946957462
4,숙대입구,수,1.1445090790284542
4,숙대입구,월,1.07183810006262
4,숙대입구,일,0.5805699539443676
4,숙대입구,토,0.8197879187861149
4,숙대입구,화,1.1271289709557948
4,신용산,금,1.1748735660102716
4,신용산,목,1.136585660344928
4,신용산,수,1.1485500933554413
4,신용산,월,1.0804188430970412
4,신용산,일,0.5562739762895437
4,신용산,토,0.7754442209933705
4,신용산,화,1.127853639909403
4,쌍문,금,1.1375423462460845
4,쌍문,목,1.1173923248869326
4,쌍문,수,1.1257007855196002
4,쌍문,월,1.0900279765429037
4,쌍문,일,0.5896413137060219
4,쌍문,토,0.8253087434932143
4,쌍문,화,1.1143865096052428
4,이촌,금,1.0901184610705148
4,이촌,목,1.03688907287556
4,이촌,수,1.0941506379224013
4,이촌,월,0.9612063831255045
4,이촌,일,0.7150100734508308
4,이촌,토,1.0610094984121932
4,이촌,화,1.0416158731429954
4,창동,금,1.148230382677621
4,창동,목,1.0982085815900071
4,창동,수,1.1074634374266423
4,창동,월,1.0638174329826484
4,창동,일,0.628278770820717
4,창동,토,0.8590111924942108
4,창동,화,1.094990202008154
4,총신대입구,금,1.1606383302018592
4,총신대입구,목,1.11098104552533
4,총신대입구,수,1.1270962236395927
4,총신대입구,월,1.0749272998708037
4,총신대입구,일,0.5750541166551769
4,총신대입구,토,0.8409761518213033
4,총신대입구,화,1.1103268322859337
4,충무로,금,1.1796284526139362
4,충무로,목,1.2101142587864724
4,충무로,수,1.2010157493223999
4,충무로,월,1.1483820018987299
4,충무로,일,0.4196265506870361
4,충무로,토,0.6478683563939843
4,충무로,화,1.1933646302974408
4,한성대입구,금,1.140758629149368
4,한성대입구,목,1.1122969448931865
4,한성대입구,수,1.1252496027151015
4,한성대입구,월,1.0499903714569585
4,한성대입구,일,0.6018262938015222
4,한성대입구,토,0.8597152400408402
4,한성대입구,화,1.1101629179430237
4,혜화,금,1.1380162837541732
4,혜화,목,1.085376742537113
4,혜화,수,1.113445711234843
4,혜화,월,0.9550472364838115
4,혜화,일,0.7054841763171786
4,혜화,토,0.955343969186259
4,혜화,화,1.047285880486621
4,회현,금,1.1478940700498206
4,회현,목,1.13076763220639
4,회현,수,1.1387097794802525
4,회현,월,1.0911787080690556
4,회현,일,0.4529685440658489
4,회현,토,0.8885004803640579
4,회현,화,1.1499807857645745
5,강동,금,1.151093672826416
5,강동,목,1.138504703039394
5,강동,수,1.143680848397179
5,강동,월,1.1151486317959547
5,강동,일,0.5238001664979182
5,강동,토,0.7882303074007693
5,강동,화,1.1395416700423684
5,강일,금,1.1478111696155733
5,강일,목,1.1316770805265166
5,강일,수,1.145217010287355
5,강일,월,1.1005010679547875
5,강일,일,0.5467345875148717
5,강일,토,0.7883215978031074
5,강일,화,1.139737486297789
5,개롱,금,1.1679376618127817
5,개롱,목,1.1557794355495212
5,개롱,수,1.1662543677929864
5,개롱,월,1.1243022799160225
5,개롱,일,0.4956216147764242
5,개롱,토,0.7410413752506336
5,개롱,화,1.1490632649016308
5,개화산,금,1.1521660271481184
5,개화산,목,1.1451221280737216
5,개화산,수,1.156410915372413
5,개화산,월,1.1267109269341375
5,개화산,일,0.5241739370622346
5,개화산,토,0.7463654866550962
5,개화산,화,1.149050578754278
5,거여,금,1.1643720998474303
5,거여,목,1.1566107533778058
5,거여,수,1.1722868308737775
5,거여,월,1.1260311400468772
5,거여,일,0.49269742106241093
5,거여,토,0.7242193363788716
5,거여,화,1.1637824184128265
5,고덕,금,1.1813928297710488
5,고덕,목,1.140968538253603
5,고덕,수,1.1631768409568766
5,고덕,월,1.1226890194362382
5,고덕,일,0.48210932179396304
5,고덕,토,0.7577695673569121
5,고덕,화,1.151893882431359
5,공덕,금,1.2017476405181293
5,공덕,목,1.2089479366352478
5,공덕,수,1.2257453944658685
5,공덕,월,1.163264094877001
5,공덕,일,0.37331093416677935
5,공덕,토,0.6109146292338276
5,공덕,화,1.2160693701031453
5,광나루,금,1.1323289409729156
5,광나루,목,1.1111761242958578
5,광나루,수,1.120179244281148
5,광나루,월,1.0621220120815429
5,광나루,일,0.605495430959759
5,광나루,토,0.856382670649859
5,광나루,화,1.1123155767589177
5,광화문,금,1.1675096754184915
5,광화문,목,1.1716656367368363
5,광화문,수,1.1964020038808538
5,광화문,월,1.1061757167937392
5,광화문,일,0.4939061777592926
5,광화문,토,0.6992177324716345
5,광화문,화,1.165123056939152
5,군자,금,1.1521811793150496
5,군자,목,1.124668658468971
5,군자,수,1.1289494357774073
5,군자,월,1.0666997076423865
5,군자,일,0.5804008939332999
5,군자,토,0.8373966251049437
5,군자,화,1.1097034997579425
5,굽은다리,금,1.138856497035786
